carat,cut,color,clarity,depth,table,x,y,z,price
0.5,Ideal,E,VS1,61.8,55.0,5.07,5.11,3.16,1819
1.01,Ideal,I,SI2,62.4,55.0,6.38,6.46,4.0,3729
0.5,Premium,F,SI2,62.8,62.0,5.04,5.01,3.16,956
0.7,Ideal,G,VS1,61.0,58.0,5.74,5.79,3.52,2568
0.92,Premium,F,SI1,62.9,58.0,6.15,6.18,3.88,4586
0.71,Ideal,D,VS2,62.1,55.0,5.73,5.77,3.57,2874
0.41,Ideal,F,SI2,62.1,55.0,4.78,4.82,2.98,764
0.73,Ideal,E,SI1,62.0,55.0,5.77,5.8,3.6,2596
0.38,Ideal,E,VS2,62.2,55.0,4.63,4.66,2.89,866
1.24,Premium,H,VVS2,62.4,58.0,6.88,6.83,4.28,7953
1.2,Premium,D,SI2,62.8,56.0,6.82,6.7,4.24,7539
1.09,Premium,H,SI1,62.0,58.0,6.59,6.61,4.1,4355
0.51,Ideal,E,SI2,62.6,55.0,5.08,5.13,3.2,1286
0.3,Very Good,G,VS1,61.2,60.0,4.3,4.33,2.64,605
2.25,Premium,J,SI2,62.4,58.0,8.35,8.29,5.2,13200
1.02,Very Good,F,SI2,63.3,59.0,6.38,6.42,4.05,4318
0.51,Ideal,D,VS1,61.9,56.0,5.11,5.14,3.17,1822
0.56,Ideal,G,VS2,61.5,56.0,5.29,5.26,3.24,1698
0.32,Ideal,G,VS1,61.4,55.0,4.44,4.47,2.74,828
1.11,Premium,I,SI2,62.2,58.0,6.6,6.63,4.12,3975
0.31,Premium,H,VVS2,62.1,58.0,4.31,4.38,2.7,625
0.52,Ideal,H,VS1,61.6,57.0,5.17,5.14,3.17,1573
1.52,Premium,F,SI1,62.4,55.0,7.35,7.3,4.58,11284
0.56,Ideal,E,SI1,61.5,56.0,5.34,5.3,3.27,1593
0.81,Ideal,I,SI2,61.3,56.0,5.96,5.99,3.68,2383
0.3,Premium,G,VVS1,61.2,58.0,4.33,4.35,2.65,789
0.32,Ideal,G,VS2,61.9,57.0,4.38,4.4,2.72,561
1.5,Premium,J,VS2,60.9,58.0,7.38,7.41,4.5,5500
2.09,Very Good,G,SI2,60.4,62.0,8.21,8.25,4.99,18445
2.01,Premium,J,SI2,62.6,61.0,8.02,7.95,4.99,12989
0.51,Very Good,D,SI1,62.7,58.0,5.09,5.12,3.2,1397
1.01,Premium,F,VS2,60.8,58.0,6.53,6.49,3.95,7272
0.73,Very Good,I,VS2,62.4,58.0,5.75,5.73,3.58,2378
0.53,Ideal,G,VVS2,61.9,54.0,5.18,5.24,3.23,1743
0.42,Ideal,E,VVS2,60.9,56.0,4.85,4.81,2.94,1289
0.9,Very Good,D,VS2,63.4,57.0,6.07,6.12,3.86,4761
0.32,Ideal,G,VS1,62.0,57.0,4.34,4.37,2.7,645
1.13,Premium,H,VS2,61.9,59.0,6.7,6.66,4.14,5395
0.91,Good,F,SI2,62.2,62.0,6.07,6.12,3.79,2747
1.51,Premium,H,SI2,58.8,60.0,7.5,7.43,4.4,7751
0.54,Ideal,H,VS1,62.1,54.0,5.23,5.27,3.25,1819
1.01,Very Good,G,SI2,60.6,58.0,6.56,6.52,3.95,4218
1.2,Ideal,H,SI1,62.3,56.0,6.84,6.77,4.22,6708
1.09,Good,D,SI2,63.7,59.0,6.45,6.38,4.08,4598
0.3,Premium,E,VS1,62.0,58.0,4.23,4.28,2.63,734
1.06,Premium,F,VVS2,58.3,59.0,6.67,6.71,3.9,9677
0.93,Ideal,I,SI1,62.0,56.0,6.19,6.22,3.86,3303
0.31,Ideal,G,VS1,62.6,54.0,4.35,4.38,2.73,603
0.31,Ideal,D,SI1,61.5,54.0,4.34,4.37,2.68,633
0.32,Ideal,F,VS2,62.1,55.0,4.38,4.42,2.73,645
1.03,Ideal,F,SI1,62.5,57.0,6.44,6.47,4.03,5197
1.0,Very Good,G,SI2,59.6,59.0,6.49,6.52,3.88,4269
0.3,Ideal,H,VS1,62.0,56.0,4.3,4.34,2.68,533
0.24,Very Good,E,VS1,63.8,56.0,3.92,3.94,2.5,391
0.51,Very Good,G,SI1,63.3,58.0,5.05,5.08,3.21,1312
1.02,Very Good,E,SI1,63.1,59.0,6.35,6.39,4.02,4598
0.32,Ideal,E,VS2,62.0,54.2,4.4,4.41,2.73,846
1.03,Ideal,H,VS1,62.0,55.3,6.5,6.47,4.02,5540
0.91,Ideal,D,SI2,61.5,56.0,6.25,6.3,3.85,3392
0.75,Ideal,D,SI1,62.7,55.0,5.8,5.83,3.64,2907
0.42,Premium,I,SI1,62.4,58.0,4.76,4.79,2.98,812
1.52,Ideal,D,SI2,61.3,56.0,7.38,7.46,4.55,9341
0.34,Ideal,H,VS2,62.0,56.0,4.51,4.54,2.8,537
0.4,Ideal,J,VS1,61.7,54.4,4.74,4.8,2.95,782
1.71,Premium,I,VVS2,62.4,58.0,7.62,7.57,4.74,14957
1.01,Premium,I,SI1,59.0,59.0,6.51,6.46,3.83,4032
1.2,Very Good,H,VS2,62.7,59.0,6.65,6.72,4.19,7062
1.04,Good,G,I1,63.5,57.0,6.42,6.46,4.08,2723
1.5,Premium,I,SI1,59.8,62.0,7.48,7.43,4.45,8170
0.71,Premium,F,SI1,62.6,57.0,5.69,5.66,3.55,2309
0.3,Ideal,F,IF,61.3,57.0,4.28,4.3,2.63,886
0.38,Ideal,G,VS1,61.9,55.0,4.67,4.7,2.89,847
1.02,Good,E,SI1,62.5,61.0,6.37,6.39,3.99,4912
0.3,Ideal,E,VS2,61.6,56.0,4.32,4.36,2.67,637
0.31,Ideal,G,SI1,61.8,57.0,4.35,4.37,2.69,593
1.23,Premium,I,VS2,62.1,58.0,6.84,6.89,4.26,5453
0.4,Ideal,F,VVS2,62.0,57.0,4.74,4.72,2.93,947
2.04,Ideal,I,SI1,61.9,55.0,8.15,8.1,5.04,15706
0.32,Ideal,F,VS2,61.8,55.0,4.41,4.45,2.74,828
1.02,Premium,F,VS2,61.0,58.0,6.45,6.41,3.92,5924
0.91,Ideal,E,SI2,61.3,54.0,6.25,6.2,3.81,3620
0.81,Good,F,SI2,63.8,55.0,5.94,5.88,3.77,2691
1.14,Ideal,G,VS1,61.5,57.0,6.73,6.71,4.13,8611
1.51,Ideal,G,VS2,61.3,57.0,7.35,7.44,4.54,13298
0.51,Ideal,E,VS1,62.3,55.0,5.13,5.16,3.2,1968
0.31,Very Good,E,VVS2,61.8,57.0,4.29,4.33,2.66,633
1.17,Ideal,G,VS1,62.4,55.0,6.83,6.78,4.24,8457
0.9,Very Good,I,VS2,63.5,58.0,6.09,6.06,3.86,3345
1.01,Very Good,I,VS2,62.8,58.0,6.3,6.41,3.99,4668
0.53,Ideal,E,VS2,61.1,56.0,5.23,5.26,3.2,1659
0.61,Ideal,H,VS1,60.7,55.0,5.51,5.54,3.35,2034
2.38,Premium,J,VS2,62.6,58.0,8.52,8.49,5.32,15466
1.27,Ideal,E,IF,61.8,55.0,6.95,6.93,4.29,15529
0.4,Ideal,H,VS1,61.9,57.0,4.69,4.74,2.91,719
0.41,Ideal,F,VS1,62.0,56.0,4.81,4.78,2.97,1359
0.3,Ideal,F,VVS1,62.2,57.0,4.28,4.31,2.67,814
0.38,Ideal,D,VS2,62.5,56.0,4.65,4.63,2.89,1040
0.41,Premium,H,SI1,62.5,58.0,4.67,4.72,2.94,723
0.32,Very Good,H,VS1,60.8,61.0,4.4,4.44,2.69,434
1.57,Ideal,H,SI2,61.7,55.0,7.49,7.52,4.62,8491
0.42,Premium,F,SI1,61.2,58.0,4.82,4.8,2.95,992
0.31,Good,G,VS2,63.8,56.0,4.29,4.33,2.76,698
0.3,Very Good,J,VVS1,59.6,58.0,4.28,4.35,2.6,554
1.02,Good,G,VVS2,63.7,55.0,6.36,6.41,4.07,7091
0.39,Good,J,SI1,60.0,64.0,4.75,4.8,2.87,586
0.51,Ideal,D,SI1,60.4,57.0,5.23,5.2,3.15,1657
0.34,Ideal,I,VS2,62.4,56.0,4.46,4.49,2.79,491
0.37,Premium,D,VS2,60.5,58.0,4.62,4.66,2.81,1010
0.75,Very Good,I,SI1,60.2,57.0,5.92,5.95,3.57,2340
1.7,Ideal,H,SI1,61.9,57.0,7.61,7.66,4.73,12308
0.9,Good,D,SI1,62.1,64.0,6.12,6.09,3.79,3567
0.34,Very Good,I,SI1,63.1,56.0,4.5,4.47,2.83,589
1.0,Premium,F,SI1,62.4,58.0,6.37,6.32,3.96,5093
0.83,Very Good,E,VS2,62.1,60.0,5.97,6.05,3.74,3838
1.02,Good,G,VS1,58.4,63.0,6.6,6.55,3.83,6177
0.32,Very Good,E,VS2,62.7,57.0,4.3,4.32,2.71,702
0.57,Ideal,E,SI1,62.1,57.0,5.28,5.3,3.28,1644
1.5,Premium,G,VVS2,59.8,60.0,7.39,7.49,4.45,15498
0.43,Premium,J,VS1,60.8,58.0,4.91,4.86,2.97,830
0.3,Very Good,H,VVS2,62.8,56.0,4.24,4.27,2.67,486
0.9,Very Good,D,SI1,61.0,58.0,6.18,6.22,3.77,4187
1.01,Premium,G,VVS2,59.1,59.0,6.59,6.57,3.88,6468
0.54,Premium,G,SI1,60.0,60.0,5.31,5.28,3.18,1319
0.31,Very Good,E,SI1,63.5,55.0,4.31,4.29,2.73,698
0.77,Very Good,D,SI2,61.9,58.0,5.87,5.9,3.64,3104
1.02,Ideal,E,SI1,62.1,57.0,6.38,6.42,3.98,4829
1.15,Premium,I,SI2,60.8,59.0,6.82,6.75,4.12,4837
1.28,Premium,H,VS2,61.6,58.0,7.05,6.98,4.31,6987
0.72,Ideal,F,VVS2,62.2,56.0,5.75,5.72,3.57,2892
0.31,Ideal,G,VS1,61.8,57.0,4.35,4.38,2.69,625
1.22,Ideal,D,SI1,62.0,57.0,6.88,6.81,4.25,7143
1.01,Premium,H,VS2,61.9,60.0,6.36,6.39,3.95,4981
0.31,Ideal,G,VS2,61.2,57.0,4.34,4.36,2.66,647
0.9,Good,F,SI1,63.6,58.0,6.06,6.13,3.87,3505
1.05,Ideal,H,SI2,62.7,57.0,6.5,6.54,4.08,3977
0.3,Ideal,F,VVS1,61.8,56.0,4.3,4.36,2.68,810
0.4,Ideal,F,VS1,60.4,56.0,4.78,4.81,2.9,939
0.3,Premium,H,VS2,61.9,58.0,4.3,4.25,2.65,506
0.31,Ideal,D,SI2,60.9,56.0,4.4,4.42,2.69,462
0.41,Ideal,F,VVS2,62.1,56.0,4.76,4.74,2.95,1192
0.7,Good,G,VS2,64.3,60.0,5.56,5.59,3.57,2401
1.22,Ideal,G,VS1,62.1,56.0,6.83,6.87,4.25,8590
1.51,Ideal,H,SI2,62.2,55.0,7.31,7.36,4.56,13818
1.52,Premium,F,SI2,59.1,60.0,7.49,7.38,4.4,8796
2.03,Ideal,D,SI2,60.8,57.0,8.2,8.13,4.98,16694
2.01,Ideal,G,SI2,62.0,54.0,8.05,8.1,5.0,16064
0.71,Ideal,D,SI2,61.8,57.0,5.75,5.77,3.56,2474
0.7,Ideal,F,VS2,61.6,57.0,5.7,5.71,3.52,3038
0.3,Very Good,F,VS2,62.9,58.0,4.23,4.27,2.67,605
0.54,Premium,E,VS2,59.9,59.0,5.3,5.26,3.16,1580
0.8,Ideal,E,VS2,61.9,56.0,5.98,5.95,3.69,4538
0.32,Ideal,G,VS2,61.4,56.0,4.42,4.45,2.72,649
0.71,Ideal,D,VS2,60.3,57.0,5.81,5.74,3.47,3222
0.41,Premium,J,VS1,62.4,58.0,4.75,4.74,2.96,773
1.2,Good,F,VS2,63.6,59.0,6.66,6.72,4.25,8157
1.12,Ideal,G,SI1,61.6,56.0,6.72,6.7,4.13,6088
1.52,Ideal,G,SI1,60.4,58.0,7.48,7.39,4.5,11716
0.54,Ideal,E,SI1,61.9,57.0,5.22,5.14,3.21,1415
0.4,Premium,E,VS1,59.8,58.0,4.82,4.79,2.88,1125
1.01,Very Good,H,SI1,62.8,58.0,6.38,6.45,4.03,4468
0.65,Premium,E,SI2,61.9,60.0,5.53,5.49,3.42,1918
2.01,Premium,H,SI2,59.3,60.0,8.17,8.14,4.86,12226
0.72,Ideal,D,SI2,61.3,56.0,5.77,5.74,3.52,2475
1.04,Premium,D,SI2,61.1,58.0,6.52,6.55,3.99,5599
1.04,Ideal,H,SI1,61.6,56.0,6.53,6.55,4.04,4755
0.32,Very Good,G,VS2,62.6,59.0,4.3,4.38,2.72,561
0.32,Ideal,H,VVS2,62.1,54.0,4.39,4.41,2.73,728
0.57,Ideal,G,VS2,61.2,56.0,5.36,5.4,3.29,1607
1.21,Very Good,H,SI1,62.3,56.0,6.8,6.77,4.22,7812
0.71,Ideal,E,VS2,61.9,56.0,5.71,5.74,3.54,3381
0.7,Very Good,E,SI1,62.9,59.0,5.59,5.63,3.52,2753
2.02,Premium,I,SI2,59.1,58.0,8.31,8.25,4.91,15169
1.06,Premium,G,VS2,61.6,58.0,6.49,6.53,4.01,4459
0.34,Very Good,I,SI1,62.9,58.0,4.5,4.47,2.82,393
0.5,Very Good,D,VS1,63.2,52.0,5.12,5.05,3.21,1908
0.73,Premium,G,VS1,61.7,58.0,5.76,5.74,3.55,2939
0.7,Very Good,F,SI1,63.5,60.0,5.58,5.6,3.55,2401
0.62,Good,F,VS1,60.9,61.0,5.63,5.5,3.38,2331
1.03,Very Good,G,VVS2,62.1,60.0,6.42,6.47,4.0,6768
0.71,Good,G,VS1,63.4,60.0,5.67,5.64,3.58,2535
1.02,Ideal,E,VS2,61.6,57.0,6.45,6.49,3.99,6787
0.91,Premium,G,SI2,61.0,60.0,6.27,6.2,3.8,3659
0.39,Ideal,I,IF,62.9,56.0,4.67,4.7,2.94,958
0.7,Very Good,I,VS1,63.5,58.0,5.62,5.57,3.55,2198
0.31,Ideal,D,SI1,61.4,56.0,4.37,4.38,2.69,571
1.35,Premium,E,VS1,61.3,60.0,7.1,7.04,4.33,12100
1.22,Ideal,H,SI1,61.2,56.0,6.89,6.84,4.2,6236
0.53,Very Good,F,VVS2,60.4,58.0,5.23,5.27,3.17,2297
0.91,Very Good,G,SI2,62.1,60.0,6.17,6.21,3.84,3299
0.3,Premium,F,VS2,61.9,58.0,4.3,4.26,2.65,776
0.9,Ideal,I,SI1,62.8,55.0,6.09,6.14,3.85,3185
1.2,Ideal,D,SI2,62.7,54.0,6.81,6.74,4.25,5368
1.0,Premium,G,VS2,60.0,58.0,6.54,6.47,3.89,5028
0.31,Ideal,H,VS1,62.7,56.0,4.36,4.31,2.72,698
0.58,Ideal,D,VS2,62.0,53.0,5.36,5.4,3.33,2067
0.7,Very Good,F,SI1,62.6,58.0,5.6,5.63,3.51,2196
2.06,Premium,J,SI1,61.8,59.0,8.22,8.17,5.05,13687
0.9,Very Good,F,SI1,63.4,59.0,6.1,6.04,3.85,3643
1.38,Good,H,SI2,61.0,62.0,7.06,7.11,4.33,6146
0.23,Ideal,G,VVS1,61.7,57.0,3.93,3.98,2.43,559
1.01,Premium,G,SI2,62.0,59.0,6.45,6.38,3.98,4304
0.36,Very Good,H,VVS2,61.3,59.0,4.56,4.64,2.82,706
0.57,Very Good,H,SI1,62.0,56.0,5.28,5.3,3.28,1291
0.91,Ideal,F,SI2,60.3,57.0,6.25,6.21,3.76,3580
0.42,Premium,F,SI1,61.5,58.0,4.82,4.8,2.96,945
0.93,Ideal,E,SI2,61.8,54.0,6.25,6.29,3.87,4860
0.32,Ideal,I,VS2,62.3,56.0,4.35,4.39,2.72,576
0.41,Ideal,E,SI1,62.1,57.0,4.8,4.77,2.97,904
0.5,Good,F,SI1,64.3,58.0,5.03,4.93,3.21,1230
2.2,Ideal,J,SI1,62.3,57.0,8.34,8.31,5.15,15375
1.24,Ideal,H,VS1,61.5,58.0,6.92,6.88,4.24,7792
1.01,Very Good,H,SI2,63.5,59.0,6.32,6.3,4.01,4324
0.9,Good,F,SI1,62.6,61.0,6.11,6.07,3.81,3802
2.07,Ideal,J,SI2,62.1,54.2,8.13,8.18,5.07,15766
1.01,Good,D,SI2,64.0,58.0,6.29,6.33,4.04,3210
0.72,Ideal,F,SI2,61.5,56.0,5.75,5.79,3.54,2409
1.38,Premium,F,SI2,62.0,57.0,7.16,7.11,4.41,7744
1.5,Ideal,I,VS2,60.2,59.0,7.4,7.45,4.47,9596
0.51,Ideal,G,SI1,61.7,57.0,5.19,5.15,3.19,1369
0.91,Good,H,VVS1,63.9,60.0,6.12,6.1,3.91,4682
1.03,Very Good,E,VS2,61.6,58.0,6.47,6.52,4.0,6248
0.54,Ideal,H,IF,60.7,57.0,5.27,5.34,3.21,1728
1.22,Ideal,F,VVS2,60.9,57.0,6.9,6.92,4.21,12530
0.7,Premium,G,SI1,61.0,59.0,5.71,5.74,3.48,1970
0.31,Ideal,D,VS2,62.4,57.0,4.34,4.31,2.7,942
1.36,Premium,G,VS2,61.7,58.0,7.16,7.08,4.4,12168
0.31,Premium,F,VS2,62.1,59.0,4.33,4.29,2.68,802
1.01,Very Good,E,SI2,63.6,58.0,6.38,6.29,4.02,4579
0.5,Premium,D,VS2,62.6,59.0,5.09,5.06,3.17,1793
0.32,Ideal,I,VS1,61.2,55.3,4.39,4.42,2.69,529
0.71,Ideal,D,SI2,61.6,57.0,5.74,5.71,3.53,2690
1.52,Ideal,I,VS1,63.2,57.0,7.29,7.25,4.6,10682
0.5,Ideal,D,VS2,61.1,57.0,5.12,5.11,3.13,1722
0.4,Ideal,D,VS2,62.4,56.0,4.72,4.7,2.94,972
0.52,Ideal,E,SI2,61.9,57.0,5.19,5.16,3.2,1251
0.53,Ideal,E,VS2,61.1,56.0,5.22,5.24,3.19,1781
1.0,Good,G,SI2,63.8,56.0,6.31,6.27,4.02,4202
0.4,Premium,E,SI1,62.6,58.0,4.72,4.68,2.94,800
1.0,Premium,G,VS2,58.5,62.0,6.58,6.52,3.84,6394
1.72,Premium,G,VS2,60.1,60.0,7.79,7.85,4.68,15147
0.32,Premium,E,SI2,61.4,59.0,4.41,4.43,2.71,576
2.1,Very Good,H,SI2,60.3,61.0,8.32,8.27,5.02,12493
1.51,Premium,E,SI1,62.4,60.0,7.27,7.23,4.53,11263
1.01,Very Good,E,SI1,63.1,59.0,6.37,6.41,4.02,5395
0.3,Ideal,F,VVS1,61.8,57.0,4.27,4.3,2.65,814
0.32,Ideal,G,SI2,62.4,57.0,4.36,4.38,2.72,459
0.34,Very Good,F,SI1,61.3,61.0,4.41,4.45,2.71,566
0.55,Ideal,D,VS2,61.6,56.0,5.31,5.28,3.26,2026
1.5,Premium,F,SI1,60.5,60.0,7.38,7.32,4.43,11019
1.0,Very Good,H,VS2,62.6,56.0,6.42,6.35,3.99,5073
1.51,Very Good,F,SI1,61.0,58.0,7.4,7.44,4.52,11286
0.32,Premium,J,VS1,61.1,58.0,4.38,4.41,2.69,413
0.54,Ideal,G,VVS2,60.8,56.0,5.25,5.31,3.21,1789
0.9,Good,I,VS2,61.9,61.0,6.14,6.18,3.82,3462
2.03,Very Good,H,SI1,59.7,57.0,8.19,8.23,4.91,17759
0.33,Ideal,H,VVS2,61.5,56.0,4.46,4.49,2.75,672
1.02,Ideal,G,SI1,62.5,56.0,6.41,6.38,4.0,5378
1.2,Premium,D,SI1,62.4,58.0,6.82,6.76,4.25,7950
1.19,Ideal,F,VVS1,61.6,55.0,6.86,6.81,4.21,10663
0.53,Very Good,G,VS2,62.7,57.0,5.14,5.12,3.22,1607
1.0,Good,H,VS2,63.3,58.0,6.33,6.35,4.01,5931
1.5,Premium,H,SI1,61.3,58.0,7.43,7.4,4.55,10336
0.46,Ideal,D,VS1,61.3,56.0,4.95,4.91,3.03,1230
0.32,Very Good,E,SI2,63.1,56.0,4.35,4.28,2.72,576
1.5,Very Good,H,VS1,60.3,59.0,7.38,7.41,4.46,11637
1.03,Ideal,E,SI2,62.5,57.0,6.42,6.46,4.02,4439
1.01,Very Good,F,SI1,60.2,59.0,6.47,6.51,3.9,4352
1.7,Very Good,H,SI1,63.5,56.0,7.61,7.5,4.8,11836
0.32,Ideal,I,VS2,62.3,56.0,4.41,4.41,2.75,476
0.71,Very Good,E,SI1,62.8,60.0,5.63,5.67,3.55,2677
0.58,Ideal,G,VVS2,61.5,56.0,5.33,5.36,3.29,1976
1.07,Ideal,H,SI2,61.4,57.0,6.66,6.6,4.06,4693
1.03,Ideal,E,SI2,61.3,57.0,6.53,6.52,4.0,4176
0.4,Ideal,D,SI1,62.0,57.0,4.75,4.78,2.96,852
0.94,Ideal,I,SI1,61.6,56.0,6.28,6.34,3.88,3713
1.15,Very Good,G,SI2,63.2,58.0,6.63,6.6,4.18,4419
0.34,Ideal,G,IF,61.8,54.0,4.48,4.5,2.78,974
1.21,Premium,G,VS1,60.1,59.0,6.98,6.89,4.18,8176
1.01,Very Good,D,SI1,60.5,58.0,6.5,6.46,3.92,5264
0.33,Ideal,E,VS2,61.9,56.0,4.45,4.49,2.76,746
1.01,Ideal,G,VS2,61.9,56.0,6.38,6.49,3.98,5759
1.14,Premium,H,SI1,62.4,60.0,6.67,6.63,4.15,4637
0.32,Ideal,D,SI1,62.7,57.0,4.34,4.38,2.73,780
1.31,Ideal,G,VS1,61.9,56.0,6.98,7.05,4.34,10331
0.3,Ideal,F,IF,62.5,55.0,4.31,4.29,2.69,1013
0.7,Ideal,J,VS1,60.4,57.0,5.71,5.74,3.46,2338
0.54,Premium,E,VS1,61.7,59.0,5.22,5.16,3.2,1838
1.0,Good,G,SI2,63.8,58.0,6.31,6.37,4.04,3999
1.21,Very Good,H,VS2,60.1,58.0,6.89,6.86,4.13,6733
1.18,Ideal,F,VS2,61.7,54.0,6.77,6.82,4.19,8454
1.53,Ideal,H,VS2,62.1,57.0,7.42,7.37,4.6,12468
0.3,Ideal,D,VS2,62.5,55.0,4.31,4.29,2.68,911
1.0,Ideal,D,SI2,59.8,57.0,6.43,6.5,3.86,4939
0.55,Ideal,G,VS2,60.9,57.0,5.3,5.33,3.24,1637
0.53,Very Good,E,SI2,63.0,54.0,5.15,5.18,3.26,1227
0.6,Ideal,E,VS1,60.1,57.0,5.49,5.53,3.32,2208
0.39,Ideal,G,VS1,61.9,54.0,4.69,4.71,2.9,899
0.32,Ideal,H,VS1,62.1,54.0,4.4,4.38,2.73,720
0.3,Ideal,D,VVS2,61.6,56.0,4.35,4.38,2.69,858
1.04,Ideal,G,VS2,61.2,57.0,6.52,6.55,4.0,6290
0.4,Good,G,SI1,63.1,58.0,4.65,4.68,2.94,633
0.51,Premium,D,SI2,60.7,58.0,5.19,5.18,3.16,1235
0.37,Ideal,E,SI1,61.2,56.0,4.59,4.64,2.82,833
1.65,Very Good,I,VVS1,62.0,56.0,7.62,7.65,4.72,11455
0.31,Ideal,G,VS2,62.5,57.0,4.34,4.31,2.7,698
0.51,Ideal,G,VS1,61.9,53.0,5.15,5.19,3.2,1758
0.3,Ideal,G,IF,61.7,56.0,4.31,4.32,2.66,861
0.3,Ideal,G,SI1,61.0,56.0,4.3,4.34,2.63,422
0.34,Ideal,F,SI2,62.0,56.0,4.53,4.5,2.8,574
1.0,Good,D,SI1,57.7,59.0,6.61,6.58,3.81,5665
0.54,Ideal,H,SI1,61.2,56.0,5.26,5.3,3.23,1186
0.3,Premium,D,VS2,62.9,56.0,4.28,4.24,2.68,911
0.31,Very Good,H,VS2,62.2,56.0,4.3,4.34,2.69,521
1.62,Ideal,H,VS2,61.9,54.0,7.57,7.6,4.69,13325
0.94,Premium,F,SI2,62.7,58.0,6.22,6.15,3.88,4162
1.01,Very Good,G,VVS1,62.9,54.0,6.36,6.43,4.02,7891
0.32,Premium,I,VVS2,61.6,58.0,4.35,4.39,2.69,561
0.51,Very Good,F,SI1,62.9,56.0,5.06,5.1,3.2,1255
0.71,Very Good,H,SI1,63.3,54.0,5.68,5.73,3.61,2180
0.32,Premium,E,SI1,61.5,58.0,4.45,4.4,2.72,720
0.57,Ideal,F,VS1,62.0,56.0,5.3,5.3,3.29,1809
0.57,Ideal,E,VS1,61.0,56.0,5.41,5.38,3.28,2070
0.9,Ideal,I,SI2,62.0,57.0,6.12,6.17,3.79,3028
1.0,Premium,F,SI2,61.0,59.0,6.38,6.41,3.9,4451
0.32,Very Good,G,VS2,62.8,58.0,4.35,4.34,2.73,561
0.74,Fair,H,VS1,65.3,56.0,5.64,5.58,3.66,2453
0.31,Ideal,G,VS1,62.8,56.0,4.36,4.31,2.72,828
0.27,Ideal,G,VS2,60.9,55.0,4.14,4.18,2.52,490
1.07,Ideal,I,VS1,62.3,57.0,6.56,6.53,4.08,4969
1.24,Ideal,E,SI2,61.6,57.0,6.91,6.87,4.25,6169
1.21,Premium,H,VS1,62.1,56.0,6.86,6.82,4.25,7496
0.7,Good,G,SI1,58.2,63.0,5.79,5.82,3.41,2484
0.71,Good,G,SI1,61.5,62.0,5.67,5.73,3.5,2252
1.07,Ideal,D,SI2,61.6,57.0,6.57,6.53,4.04,5038
